LapNumber,Driver,Team,LapTime,Stint,Compound,SpeedI1,SpeedI2,SpeedFL,TrackStatus,avg_throttle,avg_rpm,avg_speed,avg_gear,avg_drs,avg_ers_mode,air_temp,track_temp,humidity,pressure,rainfall,wind_speed,wind_direction,year,gp,circuit_type
6.0,COL,Williams,0 days 00:01:26.057000,1.0,MEDIUM,315.0,320.0,309.0,1.0,73.37945126339568,10557.228380416123,242.25783272845763,6.327245053272451,0.0,,33.5,50.2,31.0,993.1,False,2.0,192.0,2024,monza,additional
35.0,DEV,AlphaTauri,0 days 00:01:20.770000,2.0,HARD,273.0,271.0,275.0,1.0,65.59310971146792,10502.0838179583,208.23329995722352,5.134615384615385,0.0,,22.1,30.3,65.0,1001.2,False,2.0,69.0,2023,barcelona,high_fuel
54.0,RIC,McLaren,0 days 00:01:26.589000,3.0,HARD,281.0,235.0,245.0,1.0,62.180202324154415,9997.110102279265,189.79650700100535,4.952922077922078,0.0,,18.1,25.5,70.0,985.7,False,5.4,283.0,2022,hungary,additional
69.0,RIC,RB,0 days 00:01:17.234000,3.0,MEDIUM,,287.0,280.0,1.0,65.84047834696258,10096.025404482663,201.99952852795232,5.0,0.0,,18.5,27.8,69.0,996.1,False,1.1,241.0,2024,montreal,high_fuel
48.0,HAM,Mercedes,0 days 00:01:23.063000,2.0,MEDIUM,273.0,254.0,284.0,1.0,64.92956491658924,10327.524316144272,199.5887854671896,5.078838174273859,1.2448132780082988,,29.5,46.6,57.2,997.6,False,2.1,47.0,2020,suzuka,high_fuel
35.0,HUL,Haas F1 Team,0 days 00:01:49.421000,3.0,MEDIUM,316.0,202.0,218.0,1.0,71.0618589778468,10429.381802181157,229.45967185573812,5.759615384615385,0.0,,21.8,42.4,50.0,978.1,False,2.2,9.0,2024,spa,additional
19.0,ZHO,Kick Sauber,0 days 00:01:23.694000,1.0,HARD,272.0,280.0,244.0,1.0,58.14985930574349,9769.563316031656,185.2790121692682,4.768860353130016,0.0,,20.3,36.6,50.0,785.0,False,2.6,336.0,2024,mexico,additional
38.0,HAR,Toro Rosso,0 days 00:01:36.021000,2.0,SOFT,273.0,301.0,258.0,1.0,67.26970052382889,10437.459418662114,219.05952402568585,5.379407616361072,0.0,,27.9,36.1,50.9,1008.2,False,3.1,345.0,2018,suzuka,high_fuel
27.0,MAG,Haas F1 Team,0 days 00:01:37.395000,3.0,HARD,276.0,305.0,257.0,1.0,66.15710285638599,10192.0384678823,214.00870545749183,5.6485411140583555,0.0,,21.3,35.7,46.0,1012.5,False,2.4,195.0,2024,suzuka,high_fuel
24.0,ZHO,Alfa Romeo,0 days 00:01:23.839000,2.0,HARD,288.0,279.0,245.0,1.0,52.91622626316215,9407.377821525,181.00501774926127,4.906906906906907,0.0,,25.8,47.3,23.0,779.4,False,1.0,315.0,2023,mexico,additional
12.0,LEC,Ferrari,0 days 00:01:13.791000,1.0,MEDIUM,309.0,256.0,307.0,1.0,64.68135387505527,10132.81401271356,205.89089479174513,5.348837209302325,0.0,,21.1,46.8,60.5,924.9,False,1.1,157.0,2019,brazil,additional
31.0,OCO,Alpine,0 days 00:01:11.737000,2.0,HARD,307.0,223.0,280.0,1.0,67.44456453102849,10133.84761329426,214.45401821883348,5.613084112149533,4.538317757009346,,29.7,44.8,34.0,933.0,False,2.4,355.0,2024,austria,additional
46.0,ALB,Toro Rosso,0 days 00:01:17.198000,2.0,HARD,252.0,276.0,273.0,1.0,68.70274606548242,10090.061046861214,200.9444531477853,5.240137221269297,0.0,,29.9,50.7,14.9,1021.9,False,1.5,346.0,2019,montreal,high_fuel
49.0,HUL,Haas F1 Team,0 days 00:01:35.494000,4.0,SOFT,239.0,258.0,292.0,1.0,62.520769429211725,10325.8861010027,196.92705318305937,4.764945652173913,3.130434782608696,,17.7,22.0,51.0,1017.4,False,0.4,0.0,2024,bahrain,high_fuel
60.0,SIR,Williams,0 days 00:01:23.978000,2.0,MEDIUM,276.0,238.0,251.0,1.0,57.22972230847919,10226.21622681246,187.4979437648501,4.591482649842272,0.0,,34.4,50.7,27.8,983.3,False,0.9,291.0,2018,hungary,additional
70.0,NOR,McLaren,0 days 00:01:09.649000,4.0,HARD,,237.0,274.0,1.0,68.26604140719267,10491.021942678257,222.33434304802577,5.654510556621881,0.0,,22.7,31.5,53.0,934.0,False,0.8,27.0,2023,austria,additional
61.0,RUS,Mercedes,0 days 00:01:13.785000,3.0,SOFT,291.0,252.0,297.0,1.0,63.28929874819168,9724.049797706384,198.46714960608887,5.038062283737024,1.0,,21.5,38.9,83.0,921.9,False,2.0,197.0,2022,brazil,additional
23.0,STR,Aston Martin,0 days 00:01:47.396000,4.0,INTERMEDIATE,266.0,289.0,247.0,1.0,58.1155433532252,9877.40514850285,192.22838492021612,4.987654320987654,1.0,,15.9,18.3,90.0,1014.9,True,2.4,347.0,2022,suzuka,high_fuel
19.0,RIC,RB,0 days 00:01:49.876000,2.0,MEDIUM,329.0,201.0,219.0,1.0,72.51650821154522,10520.701984871048,232.96754993364544,5.997566909975669,2.272506082725061,,22.0,43.3,50.0,978.0,False,1.7,49.0,2024,spa,additional
25.0,SAI,Ferrari,0 days 00:01:19.709000,2.0,MEDIUM,272.0,278.0,281.0,1.0,62.37237473147646,10155.604623366857,205.83353036547095,5.4748427672955975,0.0,,24.0,41.5,62.0,1001.2,False,1.1,106.0,2024,barcelona,high_fuel
22.0,GIO,Alfa Romeo Racing,0 days 00:01:17.914000,1.0,HARD,,281.0,278.0,1.0,65.3933980494606,10237.013609581956,200.89406282127337,5.174358974358975,0.0,,29.4,51.3,16.2,1022.1,False,1.5,343.0,2019,montreal,high_fuel
46.0,OCO,Alpine,0 days 00:01:25.300000,2.0,HARD,275.0,235.0,240.0,1.0,58.742381993935496,9900.105169097473,184.7039375460594,4.510204081632653,0.0125588697017268,,18.0,26.1,71.0,985.7,False,3.7,285.0,2022,hungary,additional
43.0,VER,Red Bull Racing,0 days 00:01:23.607000,3.0,MEDIUM,312.0,321.0,316.0,1.0,77.7423252934501,10616.79177774577,246.22944842500073,6.391442155309034,0.0,,21.6,31.3,48.8,989.0,False,1.9,179.0,2019,monza,additional
57.0,MAG,Haas F1 Team,0 days 00:01:10.778000,3.0,HARD,310.0,221.0,274.0,1.0,68.61115190257003,10251.753171768183,219.86493678510703,5.7033582089552235,4.742537313432836,,29.4,43.7,35.0,932.8,False,0.5,168.0,2024,austria,additional
55.0,SAI,Ferrari,0 days 00:01:17.590000,3.0,HARD,249.0,271.0,279.0,1.0,58.57755634247741,10038.105094180164,192.4272626008333,4.887043189368771,1.0,,21.8,41.7,26.0,1012.0,False,3.2,358.0,2022,montreal,high_fuel
45.0,SAR,Williams,0 days 00:01:12.420000,3.0,HARD,,225.0,268.0,1.0,65.78920699359232,10359.74739049947,219.86095025192057,5.706204379562044,4.45985401459854,,30.4,45.8,32.0,932.9,False,0.9,8.0,2024,austria,additional
11.0,RUS,Mercedes,0 days 00:01:31.371000,1.0,MEDIUM,275.0,284.0,208.0,1.0,67.26526056687707,10220.274895531214,202.26280391960069,5.057584269662922,0.0,,28.5,34.0,62.0,1013.7,False,2.7,309.0,2022,abu-dhabi,additional
22.0,PER,Force India,0 days 00:01:23.845000,1.0,SOFT,269.0,263.0,277.0,1.0,67.13003480122296,10145.16145760161,204.70639768349724,5.306946688206785,0.0,,15.8,30.3,53.4,1001.4,True,2.9,23.0,2018,barcelona,high_fuel
31.0,SAR,Williams,0 days 00:01:39.690000,2.0,HARD,290.0,264.0,243.0,1.0,55.31680508870221,9771.952146115847,177.00494498317948,4.52443857331572,2.882430647291942,,30.0,35.9,74.0,1009.5,False,0.8,188.0,2023,singapore,high_fuel
58.0,HUL,Renault,0 days 00:01:46.217000,2.0,ULTRASOFT,,265.0,252.0,1.0,55.65172930795,9714.07871738238,169.05447950472598,4.220987654320988,0.0,,29.9,32.6,69.0,1008.2,False,1.5,187.0,2018,singapore,high_fuel
48.0,ALB,Williams,0 days 00:01:31.466000,2.0,SOFT,319.0,261.0,248.0,1.0,70.83841565056925,10097.906260985406,227.92164561555668,6.0930888575458395,2.9760225669957685,,21.5,30.0,58.0,1001.0,False,2.4,229.0,2023,silverstone,additional
41.0,VER,Red Bull Racing,0 days 00:01:21.760000,2.0,SOFT,274.0,270.0,277.0,1.0,66.70865972519023,10143.087714702127,201.3438252348921,5.260869565217392,0.0,,20.3,40.1,53.1,1006.6,False,2.5,92.0,2019,barcelona,high_fuel
43.0,ALO,McLaren,0 days 00:01:09.304000,2.0,SOFT,295.0,232.0,273.0,1.0,69.75838593400195,10160.108262871649,222.3441352171112,5.653409090909091,3.4696969696969697,,23.1,45.0,35.8,936.1,False,2.3,47.0,2018,austria,additional
13.0,SAI,Renault,0 days 00:01:10.630000,1.0,ULTRASOFT,307.0,229.0,278.0,1.0,68.40901141786456,10316.843033981626,222.6234836940443,5.61596958174905,0.0,,23.1,46.9,37.4,936.2,False,2.7,39.0,2018,austria,additional
63.0,GAS,AlphaTauri,0 days 00:01:23.468000,3.0,MEDIUM,275.0,267.0,288.0,1.0,65.44617707032405,10024.819826219544,201.6113414182293,5.064245810055866,0.0,,30.0,46.4,57.1,997.7,False,1.2,62.0,2020,barcelona,high_fuel
